Restaurant Name,City,Cuisines,Aggregate rating,Average Cost for two
Duggal Snacks,New Delhi,Street Food,3.6,50
Granny's Flavour,New Delhi,Street Food,3.5,150
Moustache Coffee,New Delhi,Cafe,3.7,400
Pradeep Pav Bhaji,New Delhi,Street Food,3.8,200
Sandwich Factory,New Delhi,Cafe,3.9,500
Scorpio Cafe,New Delhi,"Chinese, Fast Food",3.7,400
Veggie-Licious,New Delhi,"North Indian, Chinese, Continental, Fast Food",3.6,450
Creamy Creation,New Delhi,Bakery,0.0,300
Evergreen Food Corner,New Delhi,"Fast Food, Raw Meats",0.0,350
K.D Corner,New Delhi,North Indian,0.0,300
Slice Of Italy,New Delhi,"Italian, Pizza, Bakery",2.2,700
Anokha Chinese Hut,New Delhi,"North Indian, Chinese",2.6,700
Bobby Dhaba & Caterers,New Delhi,"North Indian, Mughlai",3.1,450
Clever Fox Cafe,New Delhi,"North Indian, Continental, Chinese",3.0,900
Dana Pani,New Delhi,"North Indian, Chinese",2.8,300
Hotel Malabar,New Delhi,Kerala,3.0,300
Lumbini Fast Point,New Delhi,"Chinese, Fast Food",3.0,400
Mayur Restaurant,New Delhi,"North Indian, South Indian, Chinese",2.8,400
MOC - The American Restaurant,New Delhi,"American, Fast Food",2.6,400
Muradabadi Chicken Biryani,New Delhi,North Indian,3.3,450
New Aggarwal Sweet Corner,New Delhi,Mithai,2.7,100
Pizza Castle,New Delhi,"Pizza, Fast Food",2.7,500
Punjabi Dhaba,New Delhi,North Indian,3.0,200
Qureshi Chicken Corner,New Delhi,North Indian,3.0,200
Samarpan Fast Food,New Delhi,Chinese,2.9,300
Shaan-E-Tandoorz,New Delhi,North Indian,2.9,400
Sonu Sudh Bhojnalaya,New Delhi,North Indian,2.8,250
The Test,New Delhi,North Indian,2.9,500
True Blue,New Delhi,"Chinese, North Indian",3.3,900
Zaika Kathi Rolls,New Delhi,Fast Food,3.0,150
Baked Buns,New Delhi,Fast Food,3.5,500
A One Muradabadi,New Delhi,North Indian,0.0,300
Annapurna,New Delhi,North Indian,0.0,100
Cake Walkers,New Delhi,Bakery,0.0,200
Harish And Sonu Sudh Bhojnalya,New Delhi,North Indian,0.0,300
Mitra Da Dhaba,New Delhi,"North Indian, Chinese",0.0,200
Munchies Midnight Delivery,New Delhi,"Continental, Italian, Fast Food",0.0,300
Muradabadi Chicken Corner,New Delhi,Mughlai,0.0,500
Riyaz Chicken Corner,New Delhi,Biryani,0.0,300
Romano's Pizza,New Delhi,Pizza,0.0,300
Royal Spice,New Delhi,"Continental, North Indian, South Indian",0.0,500
Sonu Bhojanalya,New Delhi,North Indian,0.0,250
The Deshi Bites,New Delhi,North Indian,0.0,500
Green Chick Chop,New Delhi,"Raw Meats, North Indian, Fast Food",3.0,350
Mahara Hotel,New Delhi,"North Indian, South Indian",2.9,400
Malik Vegetarian Rasoi,New Delhi,North Indian,2.9,250
Yash Aadi Food Corner,New Delhi,"North Indian, Chinese",2.9,400
#hashtag,New Delhi,Cafe,0.0,500
Al Zaika,New Delhi,Mughlai,0.0,300
Ashiyan Foods,New Delhi,"North Indian, Chinese, Continental",0.0,700
Bake My Day,New Delhi,"Bakery, Desserts, Fast Food",0.0,250
Bhutani Chaap,New Delhi,"North Indian, Fast Food",0.0,250
China Pan,New Delhi,"Chinese, Fast Food",0.0,200
Chinese Fast Food,New Delhi,"Chinese, Fast Food",0.0,200
Dilkhush Punjabi Dhaba,New Delhi,North Indian,0.0,500
Dragun Hut,New Delhi,Chinese,0.0,400
Giani's,New Delhi,"Ice Cream, Desserts",0.0,400
Kathi House,New Delhi,Fast Food,0.0,200
Kerala Kitchen & Restaurant,New Delhi,South Indian,0.0,250
Retro Kichen,New Delhi,"Chinese, North Indian",0.0,300
The China Town,New Delhi,Chinese,0.0,250
The Urban Dhaba,New Delhi,North Indian,0.0,600
Twenty Four Seven,New Delhi,"Fast Food, North Indian",0.0,300
McDonald's,New Delhi,"Fast Food, Burger",3.4,500
Moti Mahal Delux Tandoori Trail,New Delhi,"North Indian, Mughlai, Chinese",3.2,1000
Pizza Hut,New Delhi,"Italian, Pizza, Fast Food",2.8,1000
Dill's Chawla Chik-Inn,New Delhi,"North Indian, Mughlai",2.9,700
Tandoori Zaaika,New Delhi,North Indian,3.0,500
Aap Ki Khatir,New Delhi,"Mughlai, North Indian",0.0,400
Aggarwal Sweets,New Delhi,"Mithai, South Indian, Street Food",0.0,250
Baskin Robbins,New Delhi,Ice Cream,0.0,300
Bikaner Sweets,New Delhi,"Mithai, North Indian, South Indian, Chinese, Street Food, Bakery",0.0,400
Bollywood Khana,New Delhi,"North Indian, Fast Food",0.0,150
Cake And Bakes,New Delhi,Bakery,0.0,200
Cake Point,New Delhi,"Bakery, Desserts",0.0,600
Chinese Corner,New Delhi,Chinese,0.0,150
Choudhary Dhaba,New Delhi,North Indian,0.0,350
Green Chick Chop,New Delhi,"Raw Meats, North Indian, Fast Food",0.0,350
Green Chick Chop,New Delhi,"Raw Meats, North Indian, Fast Food",0.0,350
Gujjar Dhaba,New Delhi,"Mughlai, North Indian",0.0,200
Hotel Aditi,New Delhi,North Indian,0.0,200
JMD Food Palace,New Delhi,North Indian,0.0,500
Kitchen Namaste,New Delhi,"North Indian, Chinese",0.0,200
Lajawab Chicken & Fish Fry,New Delhi,Mughlai,0.0,350
Lotus Kitchen,New Delhi,North Indian,0.0,100
Manami Japanese Restaurant,New Delhi,Japanese,0.0,1000
Manna Sweets & Restaurant,New Delhi,"Mithai, Bakery, North Indian",0.0,200
Moets Curry Pot,New Delhi,"North Indian, Chinese, Italian",0.0,1200
Mr. Sub,New Delhi,Fast Food,0.0,400
New Gaurav Dhaba,New Delhi,North Indian,0.0,250
Pandit Ji Ki Apni Rasoi,New Delhi,North Indian,0.0,250
Rajdhani Restaurant,New Delhi,North Indian,0.0,200
Saraswati Food Corner,New Delhi,"Chinese, North Indian, South Indian",0.0,250
Shri Balaji Bhojnalaya,New Delhi,North Indian,0.0,250
Swadist Bhojnalaya,New Delhi,"Chinese, North Indian",0.0,200
Swiss Gourmessa,New Delhi,Bakery,0.0,500
Truly Yours,New Delhi,"North Indian, Street Food, Fast Food",0.0,200
Uttrakhand Hotel,New Delhi,North Indian,0.0,200
Vandana Food Corner,New Delhi,"Fast Food, North Indian, South Indian",0.0,150
Zaika Biryani,New Delhi,"Mughlai, North Indian",0.0,350
Buzz,New Delhi,"North Indian, Chinese, Italian, Finger Food",3.4,2000
Lighthouse 13,New Delhi,"North Indian, European, Chinese",3.4,2100
Berco's,New Delhi,"Chinese, Thai",3.8,1100
The Great Kabab Factory,New Delhi,"North Indian, Mughlai",3.5,2200
The Tea Place by Manjushree,New Delhi,"Cafe, Beverages",4.1,700
Victoria,New Delhi,"North Indian, Chinese",3.2,1200
Aces - The Card Room,New Delhi,Finger Food,0.0,2000
Curzon - The Royal Bar,New Delhi,Finger Food,0.0,1000
London Eye - The Open Lounge,New Delhi,Finger Food,0.0,2000
Lord's - The Sports Lounge,New Delhi,Finger Food,0.0,2000
Viceroy - The Coffee Shop,New Delhi,Cafe,0.0,1000
Munch Nation,New Delhi,"Chinese, Fast Food",3.8,350
"34, Chowringhee Lane",New Delhi,Fast Food,3.2,250
Any Time Food,New Delhi,"Fast Food, Beverages",2.6,400
Bikaner Sweet House,New Delhi,Mithai,3.2,200
Domino's Pizza,New Delhi,"Pizza, Fast Food",2.8,700
Giani,New Delhi,"Ice Cream, Desserts",2.9,400
Grand Plaza,New Delhi,"North Indian, Chinese, Fast Food",3.3,800
Great Wall,New Delhi,"North Indian, Mughlai, Chinese",2.7,1200
Healthy Food Station,New Delhi,"Salad, Healthy Food, Burger, Italian, Continental, Chinese, North Indian, Beverages",3.1,400
Hostess Tasty Bites,New Delhi,Chinese,3.1,500
Hot Pot,New Delhi,Chinese,3.1,500
Kabab Factory,New Delhi,"North Indian, Mughlai, Chinese",3.0,700
Keventers,New Delhi,Beverages,3.1,400
Krishna Sweet House,New Delhi,"Mithai, South Indian",3.3,200
Mitraz,New Delhi,"North Indian, Chinese",3.4,850
Nut Khut Chaats & Snacks,New Delhi,"Fast Food, Street Food",3.2,300
Subway,New Delhi,"American, Fast Food, Salad, Healthy Food",3.4,500
The Host,New Delhi,Chinese,2.7,450
Chacha Di Hatti,New Delhi,Street Food,3.7,100
Cocoberry,New Delhi,Desserts,3.5,300
Eating Corner,New Delhi,"North Indian, Fast Food, Street Food",3.7,300
El Posto,New Delhi,Bakery,3.5,300
McDonald's,New Delhi,"Fast Food, Burger",3.6,500
Pizza Station,New Delhi,Pizza,3.5,300
Puri Bakers,New Delhi,"Bakery, Fast Food",3.7,300
JAIL - Behind The Bar,New Delhi,"North Indian, Chinese, Continental, Italian",4.1,1600
Curry Shurry,New Delhi,"North Indian, Mughlai",3.3,600
Frontier,New Delhi,Bakery,3.2,200
Hari Om Bhojnalaya,New Delhi,North Indian,3.2,400
Nirmal's,New Delhi,Chinese,2.7,400
Sardar A Pure Meat Shop,New Delhi,"Raw Meats, Fast Food, North Indian",2.8,150
The Dragon Hucks,New Delhi,Chinese,3.3,800
Green Chick Chop,New Delhi,"Raw Meats, North Indian, Fast Food",3.5,350
New Arjun Bombay Pav Bhaji,New Delhi,Street Food,3.8,250
Sweeter Delight,New Delhi,Bakery,0.0,300
Madaari,New Delhi,"North Indian, Chinese, Continental, Italian",4.3,1200
Amritsari Express,New Delhi,North Indian,3.4,400
Barista,New Delhi,Cafe,3.1,650
Baskin Robbins,New Delhi,Ice Cream,3.1,300
Bikano's Chat Cafe,New Delhi,"Street Food, South Indian, Chinese",2.7,500
Burger Singh,New Delhi,"Burger, Fast Food",3.3,500
Cafe Grub,New Delhi,"Chinese, Fast Food",3.2,300
Chicago Pizza,New Delhi,Pizza,2.9,800
Cocoberry,New Delhi,Desserts,3.1,300
Dosa Plaza,New Delhi,South Indian,3.2,400
Karim's,New Delhi,"North Indian, Mughlai",3.3,700
Kebab Xpress,New Delhi,"North Indian, Mughlai",3.2,600
Keventers,New Delhi,Beverages,3.3,400
KFC,New Delhi,"American, Fast Food",2.6,500
Paranthas 21,New Delhi,"North Indian, Street Food",3.3,350
Subway,New Delhi,"American, Fast Food, Salad, Healthy Food",2.6,500
Wow! Momo,New Delhi,"Tibetan, Chinese",3.2,350
Berco's,New Delhi,"Chinese, Thai",3.5,1100
Dunkin' Donuts,New Delhi,"Burger, Desserts, Fast Food",3.5,600
Giani's,New Delhi,"Ice Cream, Desserts",3.5,400
The Beer Cafe,New Delhi,"Finger Food, North Indian",3.8,1200
Basil Tree,New Delhi,"North Indian, Italian, Chinese",2.4,1000
Chaayos,New Delhi,"Cafe, Tea",4.1,400
QD's Restaurant,New Delhi,"Chinese, North Indian, Fast Food, Italian",4.1,800
Ada e Handi Restaurant,New Delhi,"Mughlai, North Indian, Chinese",2.6,700
Darjeeling Momos,New Delhi,"Chinese, Fast Food",2.9,250
Ingredients,New Delhi,North Indian,3.3,750
Al Quresh,New Delhi,"North Indian, Mughlai",3.6,600
Angels in my Kitchen,New Delhi,"Bakery, Desserts, Fast Food",3.5,350
Aapki Rasoi,New Delhi,North Indian,3.1,300
Bats On Delivery,New Delhi,"North Indian, Fast Food",3.1,700
Bimbo Cakes,New Delhi,Bakery,3.2,400
Burger Bros,New Delhi,"Fast Food, Burger",3.1,300
Chinese Food Corner,New Delhi,"Chinese, North Indian",2.5,500
CL Snacks,New Delhi,Street Food,3.1,150
Kapoor's Sanjha Chulha,New Delhi,"North Indian, Mughlai",3.0,500
King's,New Delhi,Ice Cream,3.2,150
Kumar Hotel,New Delhi,"North Indian, Mughlai",3.4,700
Kumar Pastry Shop,New Delhi,"Bakery, Fast Food",3.2,300
Midnight Adda,New Delhi,North Indian,3.0,600
Mughlaai Daawat,New Delhi,"North Indian, Mughlai, Fast Food",2.9,550
Pindiwala,New Delhi,Mughlai,3.0,500
Pipes & Hipes,New Delhi,"North Indian, Chinese, Fast Food",3.0,900
Sai Rasoi,New Delhi,"Chinese, North Indian",3.1,500
Snaxpress Tastes & Cakes,New Delhi,"Bakery, Desserts",2.9,200
Veggie Adda,New Delhi,"North Indian, Fast Food",3.4,400
C L Corner,New Delhi,Street Food,3.8,100
Chin 10,New Delhi,"North Indian, Chinese",3.5,500
Kati Roll Cottage,New Delhi,Fast Food,3.7,200
Kings Kulfi,New Delhi,Ice Cream,3.7,150
Paramjeet Machi Wala,New Delhi,"Seafood, North Indian",3.6,700
Rajan Corner,New Delhi,South Indian,3.6,400
Amit Dhaba,New Delhi,Fast Food,0.0,200
Apni Rasoi,New Delhi,North Indian,0.0,500
Chap Corner,New Delhi,Street Food,0.0,250
Chinese Corner,New Delhi,"Fast Food, Chinese",0.0,350
Evergreen Punjabi Swad,New Delhi,North Indian,0.0,200
Giani,New Delhi,"Ice Cream, Desserts",0.0,400
Hot & Hot Shudhir Chinese Point,New Delhi,"Chinese, Fast Food",0.0,300
Hungerz Hub,New Delhi,"Burger, Pizza, Fast Food",0.0,250
Magic Mo:Mo Corner,New Delhi,"Chinese, Fast Food",0.0,250
Malhotra's Zayeeka,New Delhi,"North Indian, Chinese",0.0,500
Moji Dhaba,New Delhi,North Indian,0.0,400
Naughty 9 Kitchen & Bar,New Delhi,"North Indian, Chinese",0.0,600
Street Chaat Chatoron Ka Adda,New Delhi,Street Food,0.0,100
Syall Kotian Da Dhaba,New Delhi,North Indian,0.0,500
Taaj Kitchen,New Delhi,"Asian, North Indian, Mughlai",0.0,700
Tirath Sweets,New Delhi,Mithai,0.0,100
Tummyy Tull,New Delhi,Fast Food,0.0,200
34 Parkstreet Lane,New Delhi,Fast Food,2.9,200
Bhikaram Bhujawala,New Delhi,Mithai,3.0,100
Chawla The Pastry Palace,New Delhi,Bakery,2.9,200
Food Box,New Delhi,Fast Food,3.0,300
Foody Box,New Delhi,"North Indian, Chinese",3.1,300
Giani,New Delhi,"Ice Cream, Desserts",3.1,300
Green Chick Chop,New Delhi,"Raw Meats, North Indian, Fast Food",3.1,350
Heaven's Shawarma,New Delhi,Lebanese,3.0,200
Hyderabad Spl. Chicken Biryani Point,New Delhi,Mughlai,3.0,350
Keshar,New Delhi,"North Indian, South Indian, Chinese",3.0,400
Madras Cafe,New Delhi,"South Indian, Chinese",2.7,450
Milan Chole Bhature,New Delhi,Street Food,3.1,100
New Laxmi Sweets,New Delhi,"South Indian, Chinese, Fast Food, Mithai",2.8,200
Pasta Hub,New Delhi,Fast Food,3.1,250
Patna Roll Center,New Delhi,Fast Food,3.1,200
Refuel,New Delhi,Beverages,3.1,150
Saara Veg,New Delhi,"North Indian, Chinese",3.0,400
SGF - Spice Grill Flame,New Delhi,"North Indian, Chinese",3.1,500
Shivam Corner,New Delhi,North Indian,3.0,100
Swad Mubarak,New Delhi,North Indian,3.0,200
The Little Fork,New Delhi,"Chinese, North Indian",3.1,700
The Metro Fast Food,New Delhi,Chinese,2.6,250
Tibet Kujing,New Delhi,"Chinese, Tibetan",2.9,400
Yummy Adda,New Delhi,"North Indian, Mughlai",3.5,400
Bawarchi's Canteen,New Delhi,North Indian,0.0,100
Bikaner Restaurant,New Delhi,North Indian,0.0,100
Bikaner Sweets Chaat cafe,New Delhi,"Mithai, Street Food",0.0,100
Brijwasi,New Delhi,"North Indian, Chinese, South Indian",0.0,300
Chaap Chaska,New Delhi,"North Indian, Mughlai",0.0,400
Delhi Chaap Express,New Delhi,North Indian,0.0,200
Delhi Chaat Bhandar,New Delhi,Street Food,0.0,50
Delhite PÃ­Â¢tisserie,New Delhi,Bakery,0.0,300
Desi Dhaba,New Delhi,North Indian,0.0,400
Desi Thaat Amritsari Naan,New Delhi,North Indian,0.0,300
Dhaba Express,New Delhi,North Indian,0.0,200
Flavours Kitchen,New Delhi,"North Indian, Mughlai, Chinese",0.0,700
Food Campus,New Delhi,North Indian,0.0,100
Fresh Fast Food,New Delhi,North Indian,0.0,100
Gungun Tiffin Services,New Delhi,North Indian,0.0,200
Happy Italiano,New Delhi,Fast Food,0.0,300
Haryana Bhojnalaya,New Delhi,North Indian,0.0,100
Hasty Tasty,New Delhi,Chinese,0.0,200
Inam Muradabadi,New Delhi,Mughlai,0.0,250
Just In,New Delhi,North Indian,0.0,200
Jyoti Dhaba,New Delhi,North Indian,0.0,150
Lasha Chinese Food,New Delhi,Chinese,0.0,300
Lasha Chinese Food,New Delhi,Chinese,0.0,250
Lily Tasty Fast Food,New Delhi,"North Eastern, North Indian, Chinese",0.0,150
Maa Vaishno Dinesh Dhaba,New Delhi,North Indian,0.0,100
Madras Cafe,New Delhi,"South Indian, Chinese",0.0,200
NIK's Chicken Corner,New Delhi,North Indian,0.0,300
Om Shanti Foods,New Delhi,North Indian,0.0,100
Panj Tara,New Delhi,North Indian,0.0,500
Pasta Pizza & Roll Hut,New Delhi,"Italian, Fast Food",0.0,350
Pheva Tandooris,New Delhi,"North Indian, Chinese",0.0,300
Punjabi Delight,New Delhi,North Indian,0.0,300
Punjabi Parantha Station and Punjabi Thali,New Delhi,North Indian,0.0,150
Punjabi Paratha Station,New Delhi,North Indian,0.0,100
Raja Rasoi,New Delhi,North Indian,0.0,200
Rollacious,New Delhi,Fast Food,0.0,100
Singh Chicken,New Delhi,North Indian,0.0,500
Special Tea Point,New Delhi,"Street Food, North Indian",0.0,50
Spl. Flavour Sodas & Fruit shakes,New Delhi,Juices,0.0,100
Student Corner,New Delhi,Fast Food,0.0,50
Taneja Corner,New Delhi,North Indian,0.0,200
Taste Zone,New Delhi,North Indian,0.0,100
Tea Point,New Delhi,"Beverages, Fast Food",0.0,150
West Bangal Kolkata Hot Kathi Rolls,New Delhi,Fast Food,0.0,200
Asli Alam Muradabadi Biryani Centre,New Delhi,Biryani,2.8,250
Cafe Rasoi,New Delhi,North Indian,3.2,350
Chinese Food,New Delhi,"Fast Food, Street Food, Chinese",2.9,250
Green Chick Chop,New Delhi,"Raw Meats, North Indian, Fast Food",2.9,350
Hasty Tasty,New Delhi,"Chinese, Fast Food",3.3,400
Hunter's Kitchen,New Delhi,"North Eastern, North Indian",3.0,1000
Manahang Restaurant,New Delhi,"Chinese, North Indian",3.2,500
Mezbaan Restaurant,New Delhi,"North Indian, Mughlai, Chinese",3.4,600
Moon Light Sweets,New Delhi,"Mithai, Street Food",3.3,200
North East Castle,New Delhi,Cafe,2.9,500
Pizza Point,New Delhi,"Fast Food, Pizza",2.9,350
Roll Point,New Delhi,Fast Food,2.8,200
Sanjha Tandoor,New Delhi,"North Indian, Mughlai",2.8,700
Sayyam,New Delhi,Chinese,2.7,250
Shiv Bhojnalaya,New Delhi,"South Indian, North Indian, Fast Food",2.8,250
Subway,New Delhi,"American, Fast Food, Salad, Healthy Food",3.4,500
Take Away,New Delhi,Chinese,2.9,400
Vedanta's,New Delhi,"North Indian, Chinese",2.7,650
Asian Chopstick,New Delhi,"Chinese, Thai",3.5,400
Chinese Delights,New Delhi,"Chinese, North Indian",3.5,400
Dezertfox,New Delhi,"Bakery, Desserts",3.7,550
Aggarwal Sweets,New Delhi,"Mithai, Street Food",0.0,100
Aggarwal Sweets,New Delhi,"Mithai, Street Food",0.0,150
Al Meraj Chicken Shop,New Delhi,"Awadhi, Mughlai",0.0,100
Chinese Food Corner,New Delhi,"Chinese, North Indian",0.0,400
Creative Food House,New Delhi,"Continental, Chinese, North Indian",0.0,400
D.A.A.,New Delhi,Chinese,0.0,300
Dee Cake Shop,New Delhi,Bakery,0.0,300
Jaca Restaurant,New Delhi,"North Indian, Chinese",0.0,300
King Of Roll,New Delhi,Fast Food,0.0,100
Kirti Food Plaza,New Delhi,North Indian,0.0,100
KT's Shik-Shack,New Delhi,Street Food,0.0,200
Namaste Restaurant,New Delhi,Chinese,0.0,300
Nishaj Chicken Corner,New Delhi,North Indian,0.0,200
Royal Bakery,New Delhi,"Bakery, Desserts",0.0,200
S.R. Bakers,New Delhi,Bakery,0.0,100
Shahi Muradabadi,New Delhi,Mughlai,0.0,300
Shree Vinayaga Restaurant,New Delhi,South Indian,0.0,400
The Cake Basket,New Delhi,Bakery,0.0,100
The Pure Kitchen,New Delhi,"Chinese, Continental, North Indian",0.0,250
The Yolmo Kitchen,New Delhi,Chinese,0.0,500
Zawlbuk,New Delhi,Tibetan,0.0,300
Anupam Restaurant,New Delhi,"North Indian, Chinese",2.3,500
Bobby Di Punjabi Rasoi,New Delhi,North Indian,2.9,150
Aditya Da Vaishno Dhaba,New Delhi,North Indian,0.0,250
Aggarwal Bikaner Sweets,New Delhi,Mithai,0.0,100
Aggarwal Sweet Centre,New Delhi,Mithai,0.0,200
Anjel China & Tibetian Food,New Delhi,"Tibetan, Chinese",0.0,400
Annpurna Rasoi,New Delhi,"North Indian, Fast Food",0.0,200
Apni Rasoi,New Delhi,"Mughlai, North Indian",0.0,300
Bajrang Misthan Bhawan,New Delhi,Mithai,0.0,100
Bake Town,New Delhi,"Bakery, Chinese",0.0,200
Bikaner Sweets & Restaurant,New Delhi,"Mithai, South Indian, Street Food",0.0,200
Brown Town Bakers,New Delhi,"Desserts, Fast Food",0.0,150
Captain Food Factory,New Delhi,Chinese,0.0,500
Cheffron Bakery,New Delhi,Bakery,0.0,250
Chicken Darwar,New Delhi,"Fast Food, Mughlai",0.0,350
Chili's Treat,New Delhi,"North Indian, Chinese",0.0,400
Chilli Tadka,New Delhi,"Chinese, Fast Food",0.0,250
Chinese Food Point,New Delhi,Chinese,0.0,300
Chinese Temptation,New Delhi,"Chinese, Fast Food",0.0,300
Dana Pani,New Delhi,North Indian,0.0,250
Dev Sweets & Restaurant,New Delhi,"North Indian, Chinese, South Indian",0.0,400
Dilli Darbar Chicken Point,New Delhi,Mughlai,0.0,400
Food Point and Sweets Corner,New Delhi,"South Indian, Fast Food, North Indian, Chinese",0.0,250
Green Chick Chop,New Delhi,"Raw Meats, North Indian, Fast Food",0.0,350
Grover Burfee & Cakes,New Delhi,"Bakery, Chinese",0.0,250
Hans's Planet-F,New Delhi,"Chinese, Fast Food, North Indian",0.0,350
Hotel Delhi 43,New Delhi,North Indian,0.0,700
Kanhaiya Fast Food,New Delhi,"Chinese, Fast Food",0.0,300
Karol Bagh Ke Chhole Bhature,New Delhi,North Indian,0.0,150
King's Food,New Delhi,Chinese,0.0,250
Lamba Sweets Corner,New Delhi,"Mithai, Street Food",0.0,100
Laxmi Food Corner,New Delhi,"Fast Food, North Indian",0.0,200
Lounge Bakery,New Delhi,Bakery,0.0,400
Mehtaab Sweet Corner & Restaurant,New Delhi,"North Indian, Chinese, Street Food",0.0,200
Melting Food Point,New Delhi,Chinese,0.0,300
Mithla Dhabha,New Delhi,North Indian,0.0,200
Mittal Caterer,New Delhi,"Street Food, South Indian, Mithai",0.0,200
Mittal Restaurant & Fast Food,New Delhi,"Fast Food, South Indian, Mithai",0.0,400
NBC Nirankari Bakers,New Delhi,"Pizza, Fast Food, Bakery",0.0,200
Pind Balluchi,New Delhi,"North Indian, Mughlai",0.0,800
Prem Chinese Fast Food,New Delhi,Chinese,0.0,150
Punjabi Rasoi,New Delhi,Fast Food,0.0,200
Punjabi Special,New Delhi,North Indian,0.0,250
Radhe Shyam Dhaba,New Delhi,North Indian,0.0,250
Raj Rasoi,New Delhi,North Indian,0.0,150
Raju De Special Paneer Wale,New Delhi,North Indian,0.0,50
Sangeeta Dhaba,New Delhi,North Indian,0.0,300
Sat Narayan Fast Food,New Delhi,"Mithai, Chinese",0.0,150
Shahi Chicken Point,New Delhi,Mughlai,0.0,200
Sharma Sweets,New Delhi,"Mithai, Street Food",0.0,100
Shere Hind Chicken Corner,New Delhi,Mughlai,0.0,300
Shiv Shakti Dhaba,New Delhi,North Indian,0.0,100
Shree Shyam Sweets,New Delhi,Street Food,0.0,150
Shri Shyam Ji Shudh Shakahari Bhojnalaya,New Delhi,North Indian,0.0,150
Sky Hawk,New Delhi,"North Indian, Chinese, Continental",0.0,600
Snack Shack,New Delhi,"North Indian, Chinese",0.0,300
Soya Bite's,New Delhi,North Indian,0.0,350
Soya Bite's,New Delhi,North Indian,0.0,350
Taj Mahal Dhaba,New Delhi,North Indian,0.0,400
Yadav Sweets,New Delhi,Mithai,0.0,200
Yummy Chinese Food,New Delhi,Chinese,0.0,150
Aggarwal Sweets Corner,New Delhi,Mithai,0.0,100
Anand Sweets,New Delhi,"Mithai, Street Food",0.0,100
Annapurna Sweets Palace,New Delhi,"Mithai, Street Food",0.0,100
Aujla's Punjabi Zaika,New Delhi,"North Indian, Chinese, Mughlai",0.0,400
Baba Ji,New Delhi,Fast Food,0.0,250
Babu Soup Wala,New Delhi,North Indian,0.0,300
Baketown By Gagan Bakers,New Delhi,"Fast Food, Bakery",0.0,200
Bala Ji Rasoi,New Delhi,North Indian,0.0,350
Bansiwala Sweets & Caterers,New Delhi,"Mithai, Street Food",0.0,100
Best Chicken Corner,New Delhi,North Indian,0.0,650
Bhardwaj Bakery,New Delhi,"Bakery, Pizza",0.0,100
Bikaner Sweets & Restaurant,New Delhi,"Mithai, Street Food, North Indian",0.0,450
Classic Chef Corner,New Delhi,"Chinese, North Indian",0.0,400
Dabas Ke Special Chole Bhature,New Delhi,Street Food,0.0,100
Daily Belly,New Delhi,"North Indian, South Indian, Chinese",0.0,350
Deep Bakery And Cake,New Delhi,"Bakery, Desserts",0.0,100
Dhaba NH10,New Delhi,"North Indian, Chinese",0.0,200
Dilkhush Dhaba,New Delhi,North Indian,0.0,100
Do Bhai Paneer Wale And Sweets,New Delhi,Bakery,0.0,100
Dosa and Pizza Corner,New Delhi,"South Indian, Pizza, Chinese",0.0,150
Gulati Ki Rasoi,New Delhi,North Indian,0.0,200
JMD Family Restaurant,New Delhi,"North Indian, Chinese",0.0,400
Jyoti Sweets,New Delhi,Mithai,0.0,100
Khana Khazana,New Delhi,North Indian,0.0,200
Krishna Panjabi Rasoi,New Delhi,North Indian,0.0,100
Lazeez Zaika,New Delhi,"North Indian, Chinese",0.0,250
Mannat Chinese Fast Food,New Delhi,"Chinese, Bakery",0.0,300
Pizza Hot,New Delhi,"Italian, Fast Food, South Indian",0.0,300
Raju Fast Food,New Delhi,"Street Food, Fast Food",0.0,250
Ramesh Caterers & Dhaba,New Delhi,North Indian,0.0,150
Sethi's Express,New Delhi,"South Indian, North Indian, Chinese",0.0,350
Shahi Chicken Biryani Corner,New Delhi,Biryani,0.0,250
Spicy Curry,New Delhi,North Indian,0.0,350
Super Star Restaurant,New Delhi,North Indian,0.0,150
Swagi Food Corner,New Delhi,"Chinese, Fast Food",0.0,250
Taoji Ke Amratsari Naan,New Delhi,"Fast Food, North Indian",0.0,200
TCW Chaat Point,New Delhi,Street Food,0.0,100
The Food Express,New Delhi,North Indian,0.0,200
The Pizza Family,New Delhi,Pizza,0.0,350
The Regal Chicken Corner,New Delhi,"North Indian, Mughlai",0.0,400
Welcome Rasoi,New Delhi,"North Indian, Fast Food",0.0,300
Agarwal Sweets,New Delhi,Mithai,3.0,150
Aurangzeb Rd,New Delhi,"North Indian, Mughlai",3.4,500
Bengali Sweet Corner,New Delhi,"South Indian, Street Food, Desserts",3.0,200
Cafe Coffee Day,New Delhi,Cafe,2.6,450
Chinese K. Food,New Delhi,Chinese,2.9,300
Chocowell,New Delhi,"Desserts, Bakery",3.2,150
Choice,New Delhi,"South Indian, North Indian",3.0,500
Desi Street,New Delhi,"North Indian, South Indian, Chinese",3.1,350
Enigma Lounge,New Delhi,"Chinese, North Indian",2.8,750
Flavors Of London,New Delhi,"Desserts, Ice Cream, Fast Food",3.0,200
Frontier,New Delhi,Bakery,3.0,200
Green Chick Chop,New Delhi,"Raw Meats, North Indian, Fast Food",3.2,350
Hot House Grill,New Delhi,Fast Food,3.2,300
Kanshi Ram Chole Kulche Wala,New Delhi,Street Food,3.4,150
